# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCA9	ENSCAFG00000010877	ENSCAFT00000017373	protein_coding	1	0	0	2	0	0	0	0	0	0	0	0	1	3	0	0	1	0	1	0	0	0	0
ABCA9	ENSCAFG00000010877	ENSCAFT00000049015	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ABCB10	ENSCAFG00000012137	ENSCAFT00000019279	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB8	ENSCAFG00000004698	ENSCAFT00000007562	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCC11	ENSCAFG00000010061	ENSCAFT00000016007	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC11	ENSCAFG00000010061	ENSCAFT00000049771	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC5	ENSCAFG00000012085	ENSCAFT00000019223	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC9	ENSCAFG00000012066	ENSCAFT00000019308	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC9	ENSCAFG00000012066	ENSCAFT00000043641	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG1	ENSCAFG00000010285	ENSCAFT00000016438	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG1	ENSCAFG00000010285	ENSCAFT00000044127	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG2	ENSCAFG00000009638	ENSCAFT00000015321	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCG2	ENSCAFG00000009638	ENSCAFT00000049656	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD1	ENSCAFG00000004678	ENSCAFT00000036126	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABI3	ENSCAFG00000016920	ENSCAFT00000026775	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABI3	ENSCAFG00000016920	ENSCAFT00000046651	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABLIM1	ENSCAFG00000011513	ENSCAFT00000018339	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABLIM1	ENSCAFG00000011513	ENSCAFT00000045219	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABLIM2	ENSCAFG00000014530	ENSCAFT00000023075	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABLIM2	ENSCAFG00000014530	ENSCAFT00000045774	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABLIM2	ENSCAFG00000014530	ENSCAFT00000046666	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABLIM3	ENSCAFG00000018323	ENSCAFT00000029116	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABLIM3	ENSCAFG00000018323	ENSCAFT00000029119	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACACB	ENSCAFG00000010991	ENSCAFT00000017668	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACADVL	ENSCAFG00000016016	ENSCAFT00000042985	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACAP2	ENSCAFG00000013421	ENSCAFT00000021302	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACAP2	ENSCAFG00000013421	ENSCAFT00000049157	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACCS	ENSCAFG00000009497	ENSCAFT00000015091	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACCS	ENSCAFG00000009497	ENSCAFT00000048789	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACER3	ENSCAFG00000005192	ENSCAFT00000008377	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACHE	ENSCAFG00000014054	ENSCAFT00000022306	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACO2	ENSCAFG00000001075	ENSCAFT00000001657	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACOT11	ENSCAFG00000019022	ENSCAFT00000030224	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOT11	ENSCAFG00000019022	ENSCAFT00000045798	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOX1	ENSCAFG00000004989	ENSCAFT00000008028	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACOX1	ENSCAFG00000004989	ENSCAFT00000008030	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACOX3	ENSCAFG00000014554	ENSCAFT00000023112	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ACP6	ENSCAFG00000011059	ENSCAFT00000017603	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSF2	ENSCAFG00000017050	ENSCAFT00000027010	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSS3	ENSCAFG00000005820	ENSCAFT00000009377	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACTB	ENSCAFG00000016020	ENSCAFT00000025413	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTB	ENSCAFG00000016020	ENSCAFT00000049223	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTG1	ENSCAFG00000005734	ENSCAFT00000009239	protein_coding	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
ACTG1	ENSCAFG00000005734	ENSCAFT00000024000	protein_coding	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTL9	ENSCAFG00000018565	ENSCAFT00000029470	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACTN3	ENSCAFG00000012504	ENSCAFT00000019966	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTR2	ENSCAFG00000003197	ENSCAFT00000005153	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTR3B	ENSCAFG00000004971	ENSCAFT00000007994	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTR3B	ENSCAFG00000004971	ENSCAFT00000047836	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACVR1	ENSCAFG00000009287	ENSCAFT00000014782	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM10	ENSCAFG00000016568	ENSCAFT00000026245	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM17	ENSCAFG00000003383	ENSCAFT00000005426	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAM19	ENSCAFG00000017357	ENSCAFT00000027507	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAM23	ENSCAFG00000013414	ENSCAFT00000021281	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM7	ENSCAFG00000025018	ENSCAFT00000014408	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM8	ENSCAFG00000013440	ENSCAFT00000021319	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS10	ENSCAFG00000018557	ENSCAFT00000029466	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAMTS17	ENSCAFG00000010709	ENSCAFT00000017051	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS17	ENSCAFG00000010709	ENSCAFT00000017056	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS19	ENSCAFG00000000722	ENSCAFT00000001124	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS19	ENSCAFG00000000722	ENSCAFT00000038819	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTSL1	ENSCAFG00000001581	ENSCAFT00000002481	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTSL3	ENSCAFG00000013288	ENSCAFT00000021096	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADARB1	ENSCAFG00000011077	ENSCAFT00000017660	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY10	ENSCAFG00000015387	ENSCAFT00000024423	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY5	ENSCAFG00000012084	ENSCAFT00000019177	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADCY5	ENSCAFG00000012084	ENSCAFT00000049712	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADCYAP1R1	ENSCAFG00000003111	ENSCAFT00000005013	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCYAP1R1	ENSCAFG00000003111	ENSCAFT00000005018	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRB1	ENSCAFG00000001269	ENSCAFT00000001959	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRE1	ENSCAFG00000018571	ENSCAFT00000029481	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRE3	ENSCAFG00000023992	ENSCAFT00000025768	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADGRF4	ENSCAFG00000002095	ENSCAFT00000003313	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG5	ENSCAFG00000008706	ENSCAFT00000013830	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADGRG5	ENSCAFG00000008706	ENSCAFT00000046752	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADGRG5	ENSCAFG00000008706	ENSCAFT00000050147	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADGRL2	ENSCAFG00000020330	ENSCAFT00000032382	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRL2	ENSCAFG00000020330	ENSCAFT00000032389	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRL4	ENSCAFG00000020340	ENSCAFT00000032396	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADGRL4	ENSCAFG00000020340	ENSCAFT00000032397	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADGRV1	ENSCAFG00000008218	ENSCAFT00000013109	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ADORA1	ENSCAFG00000010298	ENSCAFT00000016346	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADPRH	ENSCAFG00000011006	ENSCAFT00000017504	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADSS	ENSCAFG00000015815	ENSCAFT00000025049	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFF1	ENSCAFG00000009476	ENSCAFT00000015060	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFF1	ENSCAFG00000009476	ENSCAFT00000015063	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFF2	ENSCAFG00000019094	ENSCAFT00000030321	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AGA	ENSCAFG00000008381	ENSCAFT00000013320	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGAP2	ENSCAFG00000000273	ENSCAFT00000000434	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGER	ENSCAFG00000000777	ENSCAFT00000001212	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AGER	ENSCAFG00000000777	ENSCAFT00000001214	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AGER	ENSCAFG00000000777	ENSCAFT00000037322	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AGER	ENSCAFG00000000777	ENSCAFT00000037333	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AGER	ENSCAFG00000000777	ENSCAFT00000049666	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AGO3	ENSCAFG00000024682	ENSCAFT00000005611	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AGPAT3	ENSCAFG00000010654	ENSCAFT00000016943	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGRN	ENSCAFG00000019342	ENSCAFT00000030741	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGTPBP1	ENSCAFG00000001358	ENSCAFT00000002116	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGTPBP1	ENSCAFG00000001358	ENSCAFT00000043460	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AHCTF1	ENSCAFG00000015937	ENSCAFT00000050162	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHNAK	ENSCAFG00000032525	ENSCAFT00000048755	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AHRR	ENSCAFG00000025377	ENSCAFT00000039404	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AK5	ENSCAFG00000020380	ENSCAFT00000032462	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKAP10	ENSCAFG00000018087	ENSCAFT00000028753	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AKNA	ENSCAFG00000003340	ENSCAFT00000005347	protein_coding	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
AKNA	ENSCAFG00000003340	ENSCAFT00000048912	protein_coding	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ALDH18A1	ENSCAFG00000008339	ENSCAFT00000013315	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ALDH3B1	ENSCAFG00000011171	ENSCAFT00000017771	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ALDH3B1	ENSCAFG00000011171	ENSCAFT00000017782	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ALKBH4	ENSCAFG00000013712	ENSCAFT00000021747	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ALKBH8	ENSCAFG00000014696	ENSCAFT00000023352	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALLC	ENSCAFG00000003277	ENSCAFT00000005258	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALMS1	ENSCAFG00000008827	ENSCAFT00000014029	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ALMS1	ENSCAFG00000008827	ENSCAFT00000047622	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ALOX5	ENSCAFG00000006948	ENSCAFT00000011163	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALOX5AP	ENSCAFG00000006585	ENSCAFT00000010626	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALOXE3	ENSCAFG00000016949	ENSCAFT00000026841	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ALPK1	ENSCAFG00000011670	ENSCAFT00000018520	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALPK3	ENSCAFG00000012927	ENSCAFT00000020516	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ALPK3	ENSCAFG00000012927	ENSCAFT00000045086	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ALPK3	ENSCAFG00000012927	ENSCAFT00000045698	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ALPL	ENSCAFG00000014853	ENSCAFT00000023578	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMPD3	ENSCAFG00000007562	ENSCAFT00000012116	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AMPH	ENSCAFG00000003617	ENSCAFT00000005825	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMPH	ENSCAFG00000003617	ENSCAFT00000005852	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKAR	ENSCAFG00000009373	ENSCAFT00000014918	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANKH	ENSCAFG00000014290	ENSCAFT00000022708	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKRD24	ENSCAFG00000019121	ENSCAFT00000030367	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ANKRD27	ENSCAFG00000007533	ENSCAFT00000012075	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ANKRD33	ENSCAFG00000007345	ENSCAFT00000011753	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ANKRD33	ENSCAFG00000007345	ENSCAFT00000042922	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ANKRD54	ENSCAFG00000023613	ENSCAFT00000036413	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ANKRD54	ENSCAFG00000023613	ENSCAFT00000044446	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ANKRD6	ENSCAFG00000003105	ENSCAFT00000004982	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ANKRD61	ENSCAFG00000015676	ENSCAFT00000024825	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANKS1B	ENSCAFG00000006596	ENSCAFT00000010724	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ANO2	ENSCAFG00000015257	ENSCAFT00000024244	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANO2	ENSCAFG00000015257	ENSCAFT00000045527	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANO2	ENSCAFG00000015257	ENSCAFT00000050105	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANO7	ENSCAFG00000012881	ENSCAFT00000020452	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANOS1	ENSCAFG00000011318	ENSCAFT00000017999	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANPEP	ENSCAFG00000012013	ENSCAFT00000019074	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANXA1	ENSCAFG00000001778	ENSCAFT00000002795	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
