# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AARS	ENSCAFG00000020132	ENSCAFT00000044908	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AASS	ENSCAFG00000003532	ENSCAFT00000005673	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABAT	ENSCAFG00000019030	ENSCAFT00000030230	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA12	ENSCAFG00000014278	ENSCAFT00000022695	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ABCA4	ENSCAFG00000020121	ENSCAFT00000005367	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1
ABCA4	ENSCAFG00000020121	ENSCAFT00000032029	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1
ABCA4	ENSCAFG00000020121	ENSCAFT00000042929	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
ABCA5	ENSCAFG00000010810	ENSCAFT00000017260	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA7	ENSCAFG00000019617	ENSCAFT00000031202	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSCAFG00000010877	ENSCAFT00000017373	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSCAFG00000010877	ENSCAFT00000017398	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSCAFG00000010877	ENSCAFT00000049015	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABCC4	ENSCAFG00000005433	ENSCAFT00000008769	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC6	ENSCAFG00000018197	ENSCAFT00000028908	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCF3	ENSCAFG00000012340	ENSCAFT00000019709	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABHD14B	ENSCAFG00000009945	ENSCAFT00000015816	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16B	ENSCAFG00000029781	ENSCAFT00000049086	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD2	ENSCAFG00000011583	ENSCAFT00000018377	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABHD5	ENSCAFG00000004453	ENSCAFT00000007184	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABHD6	ENSCAFG00000007394	ENSCAFT00000011854	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABL1	ENSCAFG00000019938	ENSCAFT00000031722	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABL1	ENSCAFG00000019938	ENSCAFT00000031723	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABLIM2	ENSCAFG00000014530	ENSCAFT00000023075	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABLIM2	ENSCAFG00000014530	ENSCAFT00000045774	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABLIM2	ENSCAFG00000014530	ENSCAFT00000046666	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABR	ENSCAFG00000019060	ENSCAFT00000030275	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABR	ENSCAFG00000019060	ENSCAFT00000030278	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACAD9	ENSCAFG00000004350	ENSCAFT00000006983	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACAN	ENSCAFG00000011534	ENSCAFT00000018302	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACBD6	ENSCAFG00000012761	ENSCAFT00000020241	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACLY	ENSCAFG00000015818	ENSCAFT00000025093	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACLY	ENSCAFG00000015818	ENSCAFT00000045100	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACOT11	ENSCAFG00000019022	ENSCAFT00000030224	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACOT11	ENSCAFG00000019022	ENSCAFT00000045798	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACPT	ENSCAFG00000002920	ENSCAFT00000004670	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSL4	ENSCAFG00000018063	ENSCAFT00000028710	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSL5	ENSCAFG00000010928	ENSCAFT00000012348	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSL5	ENSCAFG00000010928	ENSCAFT00000017419	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSS1	ENSCAFG00000004360	ENSCAFT00000007012	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSS3	ENSCAFG00000005820	ENSCAFT00000009377	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTB	ENSCAFG00000016020	ENSCAFT00000025413	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTB	ENSCAFG00000016020	ENSCAFT00000049223	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTL8	ENSCAFG00000015610	ENSCAFT00000024745	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTN4	ENSCAFG00000005776	ENSCAFT00000009417	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTN4	ENSCAFG00000005776	ENSCAFT00000009433	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTR8	ENSCAFG00000008248	ENSCAFT00000013097	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACVR1	ENSCAFG00000009287	ENSCAFT00000014782	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADA	ENSCAFG00000009498	ENSCAFT00000015095	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAM19	ENSCAFG00000017357	ENSCAFT00000027507	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAM33	ENSCAFG00000006234	ENSCAFT00000010085	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAM33	ENSCAFG00000006234	ENSCAFT00000010090	protein_coding	0	0	0	4	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
ADAM33	ENSCAFG00000006234	ENSCAFT00000038664	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADAM9	ENSCAFG00000005847	ENSCAFT00000009441	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000044312	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000044346	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000046521	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000049621	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS13	ENSCAFG00000019776	ENSCAFT00000031444	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS14	ENSCAFG00000014083	ENSCAFT00000022359	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS16	ENSCAFG00000010395	ENSCAFT00000016528	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS18	ENSCAFG00000020038	ENSCAFT00000031887	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS2	ENSCAFG00000000334	ENSCAFT00000000511	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS4	ENSCAFG00000012836	ENSCAFT00000020354	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS7	ENSCAFG00000014148	ENSCAFT00000022463	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAMTSL1	ENSCAFG00000001581	ENSCAFT00000002481	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAP1	ENSCAFG00000011344	ENSCAFT00000018028	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADARB1	ENSCAFG00000011077	ENSCAFT00000017660	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAT1	ENSCAFG00000020071	ENSCAFT00000031943	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCY5	ENSCAFG00000012084	ENSCAFT00000019177	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	ENSCAFG00000003111	ENSCAFT00000005013	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	ENSCAFG00000003111	ENSCAFT00000005018	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADGB	ENSCAFG00000023693	ENSCAFT00000000533	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGB	ENSCAFG00000023693	ENSCAFT00000000535	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGRA1	ENSCAFG00000013706	ENSCAFT00000021738	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADGRB2	ENSCAFG00000010872	ENSCAFT00000017327	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ADGRB2	ENSCAFG00000010872	ENSCAFT00000046829	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ADGRD1	ENSCAFG00000006655	ENSCAFT00000010739	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRE5	ENSCAFG00000016385	ENSCAFT00000025974	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGRL2	ENSCAFG00000020330	ENSCAFT00000032382	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGRL2	ENSCAFG00000020330	ENSCAFT00000032389	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGRV1	ENSCAFG00000008218	ENSCAFT00000013109	protein_coding	0	0	1	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
ADK	ENSCAFG00000015340	ENSCAFT00000024344	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADPRHL2	ENSCAFG00000030689	ENSCAFT00000048860	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AEBP2	ENSCAFG00000012441	ENSCAFT00000019759	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AFAP1L2	ENSCAFG00000011348	ENSCAFT00000018036	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
AFAP1L2	ENSCAFG00000011348	ENSCAFT00000046569	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
AFF3	ENSCAFG00000023079	ENSCAFT00000003518	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFP	ENSCAFG00000003020	ENSCAFT00000004849	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AGAP2	ENSCAFG00000000273	ENSCAFT00000000434	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AGPAT3	ENSCAFG00000010654	ENSCAFT00000016943	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AGR2	ENSCAFG00000002437	ENSCAFT00000003840	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AIDA	ENSCAFG00000013540	ENSCAFT00000021486	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AIFM3	ENSCAFG00000030423	ENSCAFT00000024084	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AIM1L	ENSCAFG00000012511	ENSCAFT00000019865	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AIM1L	ENSCAFG00000012511	ENSCAFT00000019872	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AIRE	ENSCAFG00000010724	ENSCAFT00000017065	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AK9	ENSCAFG00000003835	ENSCAFT00000006176	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AK9	ENSCAFG00000003835	ENSCAFT00000045576	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AKAP12	ENSCAFG00000000419	ENSCAFT00000000664	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AKNA	ENSCAFG00000003340	ENSCAFT00000005347	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
AKNA	ENSCAFG00000003340	ENSCAFT00000048912	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ALB	ENSCAFG00000003016	ENSCAFT00000004843	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ALCAM	ENSCAFG00000009721	ENSCAFT00000015434	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ALDH1B1	ENSCAFG00000002400	ENSCAFT00000003767	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ALDH3A1	ENSCAFG00000018146	ENSCAFT00000028823	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALDH3A2	ENSCAFG00000018166	ENSCAFT00000028862	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALDH5A1	ENSCAFG00000010366	ENSCAFT00000016493	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALDH9A1	ENSCAFG00000013422	ENSCAFT00000021314	protein_coding	0	0	1	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ALG6	ENSCAFG00000018706	ENSCAFT00000029698	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALG8	ENSCAFG00000004822	ENSCAFT00000007783	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALKBH2	ENSCAFG00000011152	ENSCAFT00000017727	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALOX5	ENSCAFG00000006948	ENSCAFT00000011163	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ALOXE3	ENSCAFG00000016949	ENSCAFT00000026841	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALPK2	ENSCAFG00000000107	ENSCAFT00000000169	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALS2	ENSCAFG00000012360	ENSCAFT00000019642	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AMOT	ENSCAFG00000018218	ENSCAFT00000028944	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMOTL1	ENSCAFG00000004137	ENSCAFT00000006634	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AMOTL1	ENSCAFG00000004137	ENSCAFT00000043869	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AMPD3	ENSCAFG00000007562	ENSCAFT00000012116	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ANAPC4	ENSCAFG00000016439	ENSCAFT00000026058	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANAPC4	ENSCAFG00000016439	ENSCAFT00000047081	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANGEL2	ENSCAFG00000012389	ENSCAFT00000019684	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANGPTL6	ENSCAFG00000017920	ENSCAFT00000028437	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ANGPTL8	ENSCAFG00000017534	ENSCAFT00000027782	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANK3	ENSCAFG00000012694	ENSCAFT00000020300	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANK3	ENSCAFG00000012694	ENSCAFT00000020308	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANKH	ENSCAFG00000014290	ENSCAFT00000022708	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ANKLE2	ENSCAFG00000006101	ENSCAFT00000009903	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANKRA2	ENSCAFG00000008224	ENSCAFT00000035905	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANKRD24	ENSCAFG00000019121	ENSCAFT00000030367	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANKRD6	ENSCAFG00000003105	ENSCAFT00000004982	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ANKRD63	ENSCAFG00000029625	ENSCAFT00000044052	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ANKS1B	ENSCAFG00000006596	ENSCAFT00000010724	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANO2	ENSCAFG00000015257	ENSCAFT00000024244	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ANO2	ENSCAFG00000015257	ENSCAFT00000045527	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ANO2	ENSCAFG00000015257	ENSCAFT00000050105	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ANO7	ENSCAFG00000012881	ENSCAFT00000020452	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ANXA11	ENSCAFG00000015737	ENSCAFT00000024935	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
ANXA13	ENSCAFG00000001015	ENSCAFT00000001562	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANXA13	ENSCAFG00000001015	ENSCAFT00000048754	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANXA2	ENSCAFG00000016686	ENSCAFT00000026423	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AP1B1	ENSCAFG00000012067	ENSCAFT00000019193	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP1S1	ENSCAFG00000013900	ENSCAFT00000022058	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AP1S1	ENSCAFG00000013900	ENSCAFT00000024250	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AP3S2	ENSCAFG00000030396	ENSCAFT00000049227	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AP4E1	ENSCAFG00000015318	ENSCAFT00000024322	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
APEH	ENSCAFG00000011449	ENSCAFT00000018181	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
APLP1	ENSCAFG00000006713	ENSCAFT00000010799	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
APLP1	ENSCAFG00000006713	ENSCAFT00000043539	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
APOPT1	ENSCAFG00000030884	ENSCAFT00000049061	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
