# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCB9	ENSCAFG00000007676	ENSCAFT00000035158	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCC1	ENSCAFG00000018208	ENSCAFT00000027269	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABCC1	ENSCAFG00000018208	ENSCAFT00000028933	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ENSCAFG00000010061	ENSCAFT00000016007	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ENSCAFG00000010061	ENSCAFT00000049771	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCC5	ENSCAFG00000012085	ENSCAFT00000019223	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSCAFG00000008779	ENSCAFT00000014193	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSCAFG00000008779	ENSCAFT00000014256	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC9	ENSCAFG00000012066	ENSCAFT00000019308	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABCC9	ENSCAFG00000012066	ENSCAFT00000043641	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABCD1	ENSCAFG00000019247	ENSCAFT00000030549	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSCAFG00000016923	ENSCAFT00000026780	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ENSCAFG00000010285	ENSCAFT00000016438	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ENSCAFG00000010285	ENSCAFT00000044127	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCG4	ENSCAFG00000012198	ENSCAFT00000019413	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD1	ENSCAFG00000004678	ENSCAFT00000036126	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD12	ENSCAFG00000004389	ENSCAFT00000007062	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD12B	ENSCAFG00000014594	ENSCAFT00000023159	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD12B	ENSCAFG00000014594	ENSCAFT00000048523	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD16B	ENSCAFG00000029781	ENSCAFT00000049086	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABHD2	ENSCAFG00000011583	ENSCAFT00000018377	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ENSCAFG00000009506	ENSCAFT00000015117	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACAA1	ENSCAFG00000004959	ENSCAFT00000007975	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACAA1	ENSCAFG00000004959	ENSCAFT00000049287	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACACA	ENSCAFG00000017996	ENSCAFT00000028673	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACAD8	ENSCAFG00000009762	ENSCAFT00000015510	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADS	ENSCAFG00000010446	ENSCAFT00000016639	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACADS	ENSCAFG00000010446	ENSCAFT00000035390	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACADVL	ENSCAFG00000016016	ENSCAFT00000042985	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACAT1	ENSCAFG00000014570	ENSCAFT00000023145	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACAT2	ENSCAFG00000000720	ENSCAFT00000001128	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACBD5	ENSCAFG00000004377	ENSCAFT00000007030	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACD	ENSCAFG00000020352	ENSCAFT00000032411	protein_coding	0	0	2	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
ACD	ENSCAFG00000020352	ENSCAFT00000037042	protein_coding	0	0	2	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
ACD	ENSCAFG00000020352	ENSCAFT00000047143	protein_coding	0	0	2	3	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
ACE	ENSCAFG00000012998	ENSCAFT00000020636	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACE2	ENSCAFG00000012112	ENSCAFT00000019262	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACE2	ENSCAFG00000012112	ENSCAFT00000050182	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACER2	ENSCAFG00000029621	ENSCAFT00000042911	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACER3	ENSCAFG00000005192	ENSCAFT00000008377	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACKR1	ENSCAFG00000025365	ENSCAFT00000039380	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ACOT11	ENSCAFG00000019022	ENSCAFT00000030224	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT11	ENSCAFG00000019022	ENSCAFT00000045798	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT12	ENSCAFG00000008698	ENSCAFT00000013808	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACOT8	ENSCAFG00000009768	ENSCAFT00000015513	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACOT8	ENSCAFG00000009768	ENSCAFT00000047650	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACOX1	ENSCAFG00000004989	ENSCAFT00000008028	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACOX1	ENSCAFG00000004989	ENSCAFT00000008030	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACSL1	ENSCAFG00000007662	ENSCAFT00000012314	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACSL5	ENSCAFG00000010928	ENSCAFT00000012348	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACSL5	ENSCAFG00000010928	ENSCAFT00000017419	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACTN1	ENSCAFG00000016534	ENSCAFT00000026207	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACTN1	ENSCAFG00000016534	ENSCAFT00000026208	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACTN4	ENSCAFG00000005776	ENSCAFT00000009417	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTN4	ENSCAFG00000005776	ENSCAFT00000009433	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTR1A	ENSCAFG00000010210	ENSCAFT00000016205	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACVR1C	ENSCAFG00000009269	ENSCAFT00000014741	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACVR1C	ENSCAFG00000009269	ENSCAFT00000014743	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAM10	ENSCAFG00000016568	ENSCAFT00000026245	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAM17	ENSCAFG00000003383	ENSCAFT00000005426	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAM18	ENSCAFG00000005769	ENSCAFT00000009310	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
ADAM19	ENSCAFG00000017357	ENSCAFT00000027507	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAM22	ENSCAFG00000001852	ENSCAFT00000002915	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAM22	ENSCAFG00000001852	ENSCAFT00000047142	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAM33	ENSCAFG00000006234	ENSCAFT00000010090	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAM7	ENSCAFG00000025018	ENSCAFT00000014408	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAMTS17	ENSCAFG00000010709	ENSCAFT00000017051	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADAMTS17	ENSCAFG00000010709	ENSCAFT00000017056	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADAMTS18	ENSCAFG00000020038	ENSCAFT00000031887	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAMTS8	ENSCAFG00000009972	ENSCAFT00000015862	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ADAMTS9	ENSCAFG00000006777	ENSCAFT00000010923	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL3	ENSCAFG00000013288	ENSCAFT00000021096	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAP2	ENSCAFG00000018466	ENSCAFT00000035392	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAR	ENSCAFG00000017169	ENSCAFT00000027191	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADCY1	ENSCAFG00000012249	ENSCAFT00000019469	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ADCY1	ENSCAFG00000012249	ENSCAFT00000048834	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ADCY2	ENSCAFG00000010238	ENSCAFT00000016298	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADCY4	ENSCAFG00000012293	ENSCAFT00000019560	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY4	ENSCAFG00000012293	ENSCAFT00000044937	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADCY5	ENSCAFG00000012084	ENSCAFT00000019177	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADCY5	ENSCAFG00000012084	ENSCAFT00000049712	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADD2	ENSCAFG00000003407	ENSCAFT00000005489	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ADGRA1	ENSCAFG00000013706	ENSCAFT00000021738	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRA2	ENSCAFG00000006188	ENSCAFT00000010009	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGRA2	ENSCAFG00000006188	ENSCAFT00000044415	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGRA3	ENSCAFG00000016531	ENSCAFT00000026181	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADGRD1	ENSCAFG00000006655	ENSCAFT00000010739	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRE1	ENSCAFG00000018571	ENSCAFT00000029481	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGRF2	ENSCAFG00000002092	ENSCAFT00000003307	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRF2	ENSCAFG00000002092	ENSCAFT00000048418	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRG1	ENSCAFG00000024385	ENSCAFT00000013822	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADGRG5	ENSCAFG00000008706	ENSCAFT00000013830	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRG5	ENSCAFG00000008706	ENSCAFT00000046752	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRG5	ENSCAFG00000008706	ENSCAFT00000050147	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRG7	ENSCAFG00000009327	ENSCAFT00000014844	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRL1	ENSCAFG00000016453	ENSCAFT00000026103	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
ADGRL1	ENSCAFG00000016453	ENSCAFT00000049551	protein_coding	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADGRL2	ENSCAFG00000020330	ENSCAFT00000032382	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADGRL3	ENSCAFG00000002364	ENSCAFT00000003726	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRL3	ENSCAFG00000002364	ENSCAFT00000003727	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADHFE1	ENSCAFG00000007326	ENSCAFT00000011731	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADORA1	ENSCAFG00000010298	ENSCAFT00000016346	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADPGK	ENSCAFG00000017727	ENSCAFT00000028116	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADRA2A	ENSCAFG00000010840	ENSCAFT00000017233	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AFAP1L2	ENSCAFG00000011348	ENSCAFT00000018036	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AFAP1L2	ENSCAFG00000011348	ENSCAFT00000046569	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AFDN	ENSCAFG00000000860	ENSCAFT00000001341	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AFDN	ENSCAFG00000000860	ENSCAFT00000047722	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AFF1	ENSCAFG00000009476	ENSCAFT00000015063	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFG3L2	ENSCAFG00000018817	ENSCAFT00000029872	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AFP	ENSCAFG00000003020	ENSCAFT00000004849	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AGAP2	ENSCAFG00000000273	ENSCAFT00000000434	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AGFG1	ENSCAFG00000010465	ENSCAFT00000016584	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AGGF1	ENSCAFG00000009268	ENSCAFT00000014724	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AGMAT	ENSCAFG00000016233	ENSCAFT00000025752	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AGMO	ENSCAFG00000002414	ENSCAFT00000003797	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT2	ENSCAFG00000019569	ENSCAFT00000031109	protein_coding	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
AGTPBP1	ENSCAFG00000001358	ENSCAFT00000002116	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AGTPBP1	ENSCAFG00000001358	ENSCAFT00000043460	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AHCTF1	ENSCAFG00000015937	ENSCAFT00000025260	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AHCTF1	ENSCAFG00000015937	ENSCAFT00000050162	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AHNAK	ENSCAFG00000032525	ENSCAFT00000048755	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
AIG1	ENSCAFG00000000303	ENSCAFT00000000463	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AK7	ENSCAFG00000017744	ENSCAFT00000028149	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AK9	ENSCAFG00000003835	ENSCAFT00000006176	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
AK9	ENSCAFG00000003835	ENSCAFT00000045576	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
AKAP13	ENSCAFG00000011376	ENSCAFT00000018087	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AKAP13	ENSCAFG00000011376	ENSCAFT00000018095	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
