# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AGBL3	ENSCAFG00000003177	ENSCAFT00000005114	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AGFG2	ENSCAFG00000014351	ENSCAFT00000022807	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGFG2	ENSCAFG00000014351	ENSCAFT00000043766	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGPAT1	ENSCAFG00000000771	ENSCAFT00000038285	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGR2	ENSCAFG00000002437	ENSCAFT00000003840	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AGT	ENSCAFG00000012068	ENSCAFT00000019154	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AIM1	ENSCAFG00000003710	ENSCAFT00000005972	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AJAP1	ENSCAFG00000019507	ENSCAFT00000031010	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKAP3	ENSCAFG00000015325	ENSCAFT00000024329	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKAP3	ENSCAFG00000015325	ENSCAFT00000044162	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKAP7	ENSCAFG00000001147	ENSCAFT00000001762	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AKNA	ENSCAFG00000003340	ENSCAFT00000005347	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKNA	ENSCAFG00000003340	ENSCAFT00000048912	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALAS1	ENSCAFG00000009881	ENSCAFT00000015704	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ALDH5A1	ENSCAFG00000010366	ENSCAFT00000016493	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ALDH7A1	ENSCAFG00000000588	ENSCAFT00000000904	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALDH7A1	ENSCAFG00000000588	ENSCAFT00000047359	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALKBH2	ENSCAFG00000011152	ENSCAFT00000017727	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALKBH7	ENSCAFG00000018693	ENSCAFT00000029673	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALKBH7	ENSCAFG00000018693	ENSCAFT00000029674	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALOX12B	ENSCAFG00000023464	ENSCAFT00000026827	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ALPL	ENSCAFG00000014853	ENSCAFT00000023578	protein_coding	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
AMPD3	ENSCAFG00000007562	ENSCAFT00000012116	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANGPTL2	ENSCAFG00000020166	ENSCAFT00000032115	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANGPTL5	ENSCAFG00000023699	ENSCAFT00000036595	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ANGPTL5	ENSCAFG00000023699	ENSCAFT00000046257	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ANGPTL5	ENSCAFG00000023699	ENSCAFT00000047409	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANKDD1A	ENSCAFG00000017109	ENSCAFT00000027092	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKDD1A	ENSCAFG00000017109	ENSCAFT00000027095	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKH	ENSCAFG00000014290	ENSCAFT00000022708	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKMY1	ENSCAFG00000012669	ENSCAFT00000020110	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ANKMY1	ENSCAFG00000012669	ENSCAFT00000020112	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ANKRD1	ENSCAFG00000007247	ENSCAFT00000011607	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ANKRD13C	ENSCAFG00000020422	ENSCAFT00000032524	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ANKRD13D	ENSCAFG00000011687	ENSCAFT00000018584	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD17	ENSCAFG00000002998	ENSCAFT00000004833	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD17	ENSCAFG00000002998	ENSCAFT00000046533	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD22	ENSCAFG00000029297	ENSCAFT00000042796	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANKRD52	ENSCAFG00000000113	ENSCAFT00000000185	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKRD6	ENSCAFG00000003105	ENSCAFT00000004982	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANKRD65	ENSCAFG00000031574	ENSCAFT00000044695	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ANKRD9	ENSCAFG00000018059	ENSCAFT00000028691	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ANKS1A	ENSCAFG00000001277	ENSCAFT00000001982	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANO3	ENSCAFG00000010152	ENSCAFT00000016128	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANP32A	ENSCAFG00000017502	ENSCAFT00000027728	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANPEP	ENSCAFG00000012013	ENSCAFT00000019074	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANXA13	ENSCAFG00000001015	ENSCAFT00000001562	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANXA13	ENSCAFG00000001015	ENSCAFT00000048754	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AP1AR	ENSCAFG00000011643	ENSCAFT00000018483	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AP1M2	ENSCAFG00000017746	ENSCAFT00000028157	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AP1M2	ENSCAFG00000017746	ENSCAFT00000049337	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AP2A1	ENSCAFG00000003541	ENSCAFT00000005702	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AP2A1	ENSCAFG00000003541	ENSCAFT00000043790	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AP3B2	ENSCAFG00000013108	ENSCAFT00000020838	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AP3B2	ENSCAFG00000013108	ENSCAFT00000049658	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AP4B1	ENSCAFG00000009267	ENSCAFT00000014726	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AP4M1	ENSCAFG00000014674	ENSCAFT00000023359	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AP5B1	ENSCAFG00000025135	ENSCAFT00000038960	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APBA1	ENSCAFG00000001897	ENSCAFT00000002999	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APBA1	ENSCAFG00000001897	ENSCAFT00000003001	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APBB1	ENSCAFG00000006420	ENSCAFT00000010371	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
APCDD1L	ENSCAFG00000029961	ENSCAFT00000050042	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
APEH	ENSCAFG00000011449	ENSCAFT00000018181	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
APEX1	ENSCAFG00000032033	ENSCAFT00000048382	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APLP1	ENSCAFG00000006713	ENSCAFT00000010799	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APLP1	ENSCAFG00000006713	ENSCAFT00000043539	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APOB	ENSCAFG00000003887	ENSCAFT00000006266	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
APRT	ENSCAFG00000019865	ENSCAFT00000031607	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
AQP1	ENSCAFG00000003102	ENSCAFT00000004976	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARAP1	ENSCAFG00000005677	ENSCAFT00000009156	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AREG	ENSCAFG00000003075	ENSCAFT00000004935	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AREG	ENSCAFG00000003075	ENSCAFT00000047753	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARFGAP1	ENSCAFG00000012815	ENSCAFT00000039203	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARFGEF1	ENSCAFG00000007516	ENSCAFT00000012079	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
