# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCB4	ENSCAFG00000001833	ENSCAFT00000002889	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC1	ENSCAFG00000018208	ENSCAFT00000027269	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ABCC1	ENSCAFG00000018208	ENSCAFT00000028933	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
ABCC12	ENSCAFG00000010194	ENSCAFT00000016220	protein_coding	0	3	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0
ABCC2	ENSCAFG00000009536	ENSCAFT00000015149	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ABCC5	ENSCAFG00000012085	ENSCAFT00000019223	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSCAFG00000008779	ENSCAFT00000014193	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
ABCC8	ENSCAFG00000008779	ENSCAFT00000014256	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
ABCC9	ENSCAFG00000012066	ENSCAFT00000019308	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC9	ENSCAFG00000012066	ENSCAFT00000043641	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCD4	ENSCAFG00000016923	ENSCAFT00000026780	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCF3	ENSCAFG00000012340	ENSCAFT00000019709	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ABHD15	ENSCAFG00000018922	ENSCAFT00000030033	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ABHD15	ENSCAFG00000018922	ENSCAFT00000036279	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD16A	ENSCAFG00000000607	ENSCAFT00000000934	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABHD4	ENSCAFG00000011146	ENSCAFT00000017726	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABHD8	ENSCAFG00000015430	ENSCAFT00000024472	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABI3BP	ENSCAFG00000009506	ENSCAFT00000015117	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ABL2	ENSCAFG00000013920	ENSCAFT00000022081	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABLIM2	ENSCAFG00000014530	ENSCAFT00000023075	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABLIM2	ENSCAFG00000014530	ENSCAFT00000045774	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABLIM2	ENSCAFG00000014530	ENSCAFT00000046666	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABR	ENSCAFG00000019060	ENSCAFT00000030275	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABR	ENSCAFG00000019060	ENSCAFT00000030278	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABTB2	ENSCAFG00000006977	ENSCAFT00000011214	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ACACA	ENSCAFG00000017996	ENSCAFT00000028673	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ACAD11	ENSCAFG00000023835	ENSCAFT00000010290	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACAD8	ENSCAFG00000009762	ENSCAFT00000015510	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACADM	ENSCAFG00000020393	ENSCAFT00000032477	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACADM	ENSCAFG00000020393	ENSCAFT00000047118	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACAT1	ENSCAFG00000014570	ENSCAFT00000023145	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACAT1	ENSCAFG00000014570	ENSCAFT00000047270	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACBD4	ENSCAFG00000013895	ENSCAFT00000022047	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ACCS	ENSCAFG00000009497	ENSCAFT00000015091	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACCS	ENSCAFG00000009497	ENSCAFT00000048789	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACHE	ENSCAFG00000014054	ENSCAFT00000022306	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACKR1	ENSCAFG00000025365	ENSCAFT00000039380	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT11	ENSCAFG00000019022	ENSCAFT00000030224	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
ACOT11	ENSCAFG00000019022	ENSCAFT00000045798	protein_coding	0	0	0	5	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
ACOXL	ENSCAFG00000007073	ENSCAFT00000011341	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACOXL	ENSCAFG00000007073	ENSCAFT00000049359	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACP2	ENSCAFG00000008833	ENSCAFT00000014037	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSF2	ENSCAFG00000017050	ENSCAFT00000027010	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSL1	ENSCAFG00000007662	ENSCAFT00000012314	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ACSM3	ENSCAFG00000017952	ENSCAFT00000028541	protein_coding	0	0	1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
ACSM4	ENSCAFG00000023236	ENSCAFT00000028547	protein_coding	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
ACSM5	ENSCAFG00000023658	ENSCAFT00000028561	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	ENSCAFG00000004360	ENSCAFT00000007012	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSS3	ENSCAFG00000005820	ENSCAFT00000009377	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTB	ENSCAFG00000016020	ENSCAFT00000025413	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTB	ENSCAFG00000016020	ENSCAFT00000049223	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTN1	ENSCAFG00000016534	ENSCAFT00000026207	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTN1	ENSCAFG00000016534	ENSCAFT00000026208	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACVR1	ENSCAFG00000009287	ENSCAFT00000014782	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACVR2A	ENSCAFG00000005507	ENSCAFT00000008888	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACVRL1	ENSCAFG00000025220	ENSCAFT00000039088	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAM10	ENSCAFG00000016568	ENSCAFT00000026245	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAM12	ENSCAFG00000012986	ENSCAFT00000020627	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM12	ENSCAFG00000012986	ENSCAFT00000045636	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ADAM17	ENSCAFG00000003383	ENSCAFT00000005426	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAM18	ENSCAFG00000005769	ENSCAFT00000009310	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ADAM19	ENSCAFG00000017357	ENSCAFT00000027507	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	ENSCAFG00000025018	ENSCAFT00000014408	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000009441	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000044312	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000044346	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000046521	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000049621	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS12	ENSCAFG00000018844	ENSCAFT00000029912	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS12	ENSCAFG00000018844	ENSCAFT00000049226	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS12	ENSCAFG00000018844	ENSCAFT00000050154	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS14	ENSCAFG00000014083	ENSCAFT00000022359	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS14	ENSCAFG00000014083	ENSCAFT00000035862	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS16	ENSCAFG00000010395	ENSCAFT00000016528	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS17	ENSCAFG00000010709	ENSCAFT00000017051	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ADAMTS17	ENSCAFG00000010709	ENSCAFT00000017056	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ADAMTS18	ENSCAFG00000020038	ENSCAFT00000031887	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAMTS2	ENSCAFG00000000334	ENSCAFT00000000511	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS20	ENSCAFG00000009744	ENSCAFT00000015482	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ADAMTS7	ENSCAFG00000014148	ENSCAFT00000022463	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ADAMTSL5	ENSCAFG00000019512	ENSCAFT00000031017	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL5	ENSCAFG00000019512	ENSCAFT00000036507	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL5	ENSCAFG00000019512	ENSCAFT00000049063	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAR	ENSCAFG00000017169	ENSCAFT00000027191	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ADAT1	ENSCAFG00000020071	ENSCAFT00000031943	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADCK5	ENSCAFG00000001595	ENSCAFT00000002499	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADCY10	ENSCAFG00000015387	ENSCAFT00000024423	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCY2	ENSCAFG00000010238	ENSCAFT00000016298	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCY3	ENSCAFG00000004090	ENSCAFT00000006552	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCY3	ENSCAFG00000004090	ENSCAFT00000046300	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCY5	ENSCAFG00000012084	ENSCAFT00000019177	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADCY6	ENSCAFG00000008907	ENSCAFT00000014138	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCY6	ENSCAFG00000008907	ENSCAFT00000044433	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADCY6	ENSCAFG00000008907	ENSCAFT00000046714	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	ENSCAFG00000003111	ENSCAFT00000005013	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	ENSCAFG00000003111	ENSCAFT00000005018	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADD2	ENSCAFG00000003407	ENSCAFT00000005489	protein_coding	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ADGB	ENSCAFG00000023693	ENSCAFT00000000533	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ADGB	ENSCAFG00000023693	ENSCAFT00000000535	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ADGRA2	ENSCAFG00000006188	ENSCAFT00000010009	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRA2	ENSCAFG00000006188	ENSCAFT00000044415	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRA3	ENSCAFG00000016531	ENSCAFT00000026181	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGRB1	ENSCAFG00000001269	ENSCAFT00000001959	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGRD1	ENSCAFG00000006655	ENSCAFT00000010739	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
ADGRE1	ENSCAFG00000018571	ENSCAFT00000029481	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRF1	ENSCAFG00000002068	ENSCAFT00000003280	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGRF5	ENSCAFG00000002054	ENSCAFT00000003267	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGRF5	ENSCAFG00000002054	ENSCAFT00000003269	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADGRG4	ENSCAFG00000018940	ENSCAFT00000017384	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ADGRG7	ENSCAFG00000009327	ENSCAFT00000014844	protein_coding	0	2	1	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0
ADIPOR1	ENSCAFG00000010368	ENSCAFT00000016486	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOR2	ENSCAFG00000015940	ENSCAFT00000025249	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADK	ENSCAFG00000015340	ENSCAFT00000024344	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADPGK	ENSCAFG00000017727	ENSCAFT00000028116	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADRA2A	ENSCAFG00000010840	ENSCAFT00000017233	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADRB3	ENSCAFG00000006161	ENSCAFT00000009965	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AFAP1	ENSCAFG00000014453	ENSCAFT00000022970	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFAP1L2	ENSCAFG00000011348	ENSCAFT00000018036	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AFAP1L2	ENSCAFG00000011348	ENSCAFT00000046569	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AFF3	ENSCAFG00000023079	ENSCAFT00000003518	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFF3	ENSCAFG00000023079	ENSCAFT00000003521	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFF4	ENSCAFG00000000930	ENSCAFT00000001440	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AFF4	ENSCAFG00000000930	ENSCAFT00000001444	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFM	ENSCAFG00000003021	ENSCAFT00000004851	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFM	ENSCAFG00000003021	ENSCAFT00000036330	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFTPH	ENSCAFG00000003175	ENSCAFT00000005113	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AGAP1	ENSCAFG00000012092	ENSCAFT00000019261	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGAP2	ENSCAFG00000000273	ENSCAFT00000000434	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
