# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CXCL17	ENSCAFG00000004810	ENSCAFT00000007753	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CYP2F1	ENSCAFG00000023821	ENSCAFT00000008161	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CYP2F1	ENSCAFG00000023821	ENSCAFT00000050038	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
DGKQ	ENSCAFG00000016708	ENSCAFT00000036168	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
DMKN	ENSCAFG00000007024	ENSCAFT00000037697	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DMKN	ENSCAFG00000007024	ENSCAFT00000037700	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
DMKN	ENSCAFG00000007024	ENSCAFT00000037706	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DMKN	ENSCAFG00000007024	ENSCAFT00000037708	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DMRT1	ENSCAFG00000001982	ENSCAFT00000003142	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DNAJC21	ENSCAFG00000018794	ENSCAFT00000029836	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DOK7	ENSCAFG00000014622	ENSCAFT00000023214	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DOK7	ENSCAFG00000014622	ENSCAFT00000044952	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DOK7	ENSCAFG00000014622	ENSCAFT00000045517	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DVL2	ENSCAFG00000016066	ENSCAFT00000025527	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000002218	ENSCAFG00000002218	ENSCAFT00000003482	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000002736	ENSCAFG00000002736	ENSCAFT00000004352	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000002736	ENSCAFG00000002736	ENSCAFT00000004356	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000002823	ENSCAFG00000002823	ENSCAFT00000004513	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSCAFG00000004704	ENSCAFG00000004704	ENSCAFT00000007576	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000005079	ENSCAFG00000005079	ENSCAFT00000044965	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000006238	ENSCAFG00000006238	ENSCAFT00000004455	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000006238	ENSCAFG00000006238	ENSCAFT00000010212	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000006238	ENSCAFG00000006238	ENSCAFT00000043012	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000007407	ENSCAFG00000007407	ENSCAFT00000011866	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000014021	ENSCAFG00000014021	ENSCAFT00000022255	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000014120	ENSCAFG00000014120	ENSCAFT00000022433	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000014120	ENSCAFG00000014120	ENSCAFT00000044659	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000014229	ENSCAFG00000014229	ENSCAFT00000022666	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000014627	ENSCAFG00000014627	ENSCAFT00000023215	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000016129	ENSCAFG00000016129	ENSCAFT00000025598	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSCAFG00000016148	ENSCAFG00000016148	ENSCAFT00000025631	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSCAFG00000016352	ENSCAFG00000016352	ENSCAFT00000025935	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSCAFG00000016361	ENSCAFG00000016361	ENSCAFT00000025940	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000017769	ENSCAFG00000017769	ENSCAFT00000028231	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSCAFG00000018414	ENSCAFG00000018414	ENSCAFT00000029246	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000021135	ENSCAFG00000021135	ENSCAFT00000033242	snRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000022541	ENSCAFG00000022541	ENSCAFT00000034648	snRNA	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSCAFG00000023307	ENSCAFG00000023307	ENSCAFT00000035780	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCAFG00000023585	ENSCAFG00000023585	ENSCAFT00000036339	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000023981	ENSCAFG00000023981	ENSCAFT00000037143	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000027900	ENSCAFG00000027900	ENSCAFT00000042183	snoRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000029290	ENSCAFG00000029290	ENSCAFT00000049260	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000030561	ENSCAFG00000030561	ENSCAFT00000048457	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000030621	ENSCAFG00000030621	ENSCAFT00000046464	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSCAFG00000031258	ENSCAFG00000031258	ENSCAFT00000047521	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000032162	ENSCAFG00000032162	ENSCAFT00000044724	protein_coding	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000032581	ENSCAFG00000032581	ENSCAFT00000049859	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCAFG00000033159	ENSCAFG00000033159	ENSCAFT00000052352	lincRNA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSCAFG00000033159	ENSCAFG00000033159	ENSCAFT00000057587	lincRNA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSCAFG00000033935	ENSCAFG00000033935	ENSCAFT00000053113	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000034832	ENSCAFG00000034832	ENSCAFT00000055050	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSCAFG00000035213	ENSCAFG00000035213	ENSCAFT00000059311	lincRNA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSCAFG00000037026	ENSCAFG00000037026	ENSCAFT00000054494	lincRNA	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000038445	ENSCAFG00000038445	ENSCAFT00000055114	lincRNA	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSCAFG00000040282	ENSCAFG00000040282	ENSCAFT00000052986	lincRNA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSCAFG00000040282	ENSCAFG00000040282	ENSCAFT00000054566	lincRNA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSCAFG00000040282	ENSCAFG00000040282	ENSCAFT00000059127	lincRNA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSCAFG00000040499	ENSCAFG00000040499	ENSCAFT00000051456	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSCAFG00000040499	ENSCAFG00000040499	ENSCAFT00000055281	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ERCC1	ENSCAFG00000004448	ENSCAFT00000007174	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
EXPH5	ENSCAFG00000014332	ENSCAFT00000022768	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EXPH5	ENSCAFG00000014332	ENSCAFT00000048616	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FAM159B	ENSCAFG00000007294	ENSCAFT00000011666	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAM83G	ENSCAFG00000018245	ENSCAFT00000008668	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
FAM83G	ENSCAFG00000018245	ENSCAFT00000028986	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
FBXO42	ENSCAFG00000031747	ENSCAFT00000049392	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
FFAR2	ENSCAFG00000007027	ENSCAFT00000011263	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
FHAD1	ENSCAFG00000030496	ENSCAFT00000025881	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
FHAD1	ENSCAFG00000030496	ENSCAFT00000025883	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
FNDC1	ENSCAFG00000000667	ENSCAFT00000001034	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FNDC1	ENSCAFG00000000667	ENSCAFT00000043020	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FRMD4A	ENSCAFG00000004728	ENSCAFT00000007609	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
FRMD4A	ENSCAFG00000004728	ENSCAFT00000046197	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
FUCA2	ENSCAFG00000000309	ENSCAFT00000000476	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
FURIN	ENSCAFG00000012353	ENSCAFT00000019649	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
GLB1L2	ENSCAFG00000009737	ENSCAFT00000015466	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GPS2	ENSCAFG00000016137	ENSCAFT00000025609	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
HARS	ENSCAFG00000005899	ENSCAFT00000009515	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
HNRNPUL1	ENSCAFG00000005026	ENSCAFT00000008087	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
HNRNPUL1	ENSCAFG00000005026	ENSCAFT00000048725	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
HSPA14	ENSCAFG00000004702	ENSCAFT00000007573	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HSPBP1	ENSCAFG00000002605	ENSCAFT00000004100	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HSPG2	ENSCAFG00000014773	ENSCAFT00000023453	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HSPG2	ENSCAFG00000014773	ENSCAFT00000044491	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
HSPG2	ENSCAFG00000014773	ENSCAFT00000045470	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
IQGAP2	ENSCAFG00000009293	ENSCAFT00000014783	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
KCNIP4	ENSCAFG00000016537	ENSCAFT00000026195	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KLHL25	ENSCAFG00000011394	ENSCAFT00000018101	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
L3MBTL3	ENSCAFG00000001115	ENSCAFT00000001708	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
LIM2	ENSCAFG00000002844	ENSCAFT00000004551	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MAN2A1	ENSCAFG00000007417	ENSCAFT00000011885	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MAN2A1	ENSCAFG00000007417	ENSCAFT00000047226	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MAP3K10	ENSCAFG00000005393	ENSCAFT00000008670	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
MAP3K4	ENSCAFG00000000760	ENSCAFT00000035540	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
MAP4K1	ENSCAFG00000005874	ENSCAFT00000009482	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
MAPK7	ENSCAFG00000018202	ENSCAFT00000028918	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
MFAP4	ENSCAFG00000030269	ENSCAFT00000048232	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
MYBPC2	ENSCAFG00000002982	ENSCAFT00000004782	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
NCOA7	ENSCAFG00000001047	ENSCAFT00000001606	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
NLRP13	ENSCAFG00000002520	ENSCAFT00000003974	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
NLRP13	ENSCAFG00000002520	ENSCAFT00000003975	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
NSUN7	ENSCAFG00000015893	ENSCAFT00000025183	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
NSUN7	ENSCAFG00000015893	ENSCAFT00000025188	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PACRGL	ENSCAFG00000016544	ENSCAFT00000026200	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PACRGL	ENSCAFG00000016544	ENSCAFT00000026201	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PBLD	ENSCAFG00000013602	ENSCAFT00000045502	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PFAS	ENSCAFG00000017021	ENSCAFT00000026959	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
PIGN	ENSCAFG00000000083	ENSCAFT00000046346	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
PLAC8L1	ENSCAFG00000006419	ENSCAFT00000010364	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
POC5	ENSCAFG00000009352	ENSCAFT00000014892	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
POC5	ENSCAFG00000009352	ENSCAFT00000035934	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
PTAFR	ENSCAFG00000011895	ENSCAFT00000018894	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PTS	ENSCAFG00000013915	ENSCAFT00000022074	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PTS	ENSCAFG00000013915	ENSCAFT00000042885	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RYR1	ENSCAFG00000005896	ENSCAFT00000009509	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
RYR1	ENSCAFG00000005896	ENSCAFT00000048904	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
SALL1	ENSCAFG00000009755	ENSCAFT00000015496	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
SALL1	ENSCAFG00000009755	ENSCAFT00000048551	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
SBK3	ENSCAFG00000031063	ENSCAFT00000045940	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SLC13A5	ENSCAFG00000015368	ENSCAFT00000024424	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SLC2A9	ENSCAFG00000015634	ENSCAFT00000024802	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
SLC2A9	ENSCAFG00000015634	ENSCAFT00000043245	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SLC2A9	ENSCAFG00000015634	ENSCAFT00000047832	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SLC2A9	ENSCAFG00000015634	ENSCAFT00000049939	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SLC38A9	ENSCAFG00000006851	ENSCAFT00000011022	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SLC38A9	ENSCAFG00000006851	ENSCAFT00000036227	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SLC5A10	ENSCAFG00000018237	ENSCAFT00000028971	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
STMN1	ENSCAFG00000029191	ENSCAFT00000048814	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
STX8	ENSCAFG00000017413	ENSCAFT00000027596	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
STX8	ENSCAFG00000017413	ENSCAFT00000047175	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SYNE1	ENSCAFG00000000445	ENSCAFT00000000760	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
SYNE1	ENSCAFG00000000445	ENSCAFT00000043078	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
SYNE1	ENSCAFG00000000445	ENSCAFT00000044768	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
TAS1R2	ENSCAFG00000015468	ENSCAFT00000024558	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
TAS1R2	ENSCAFG00000015468	ENSCAFT00000045210	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
THG1L	ENSCAFG00000017348	ENSCAFT00000027488	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
THG1L	ENSCAFG00000017348	ENSCAFT00000046895	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
TJP1	ENSCAFG00000010407	ENSCAFT00000016538	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TJP1	ENSCAFG00000010407	ENSCAFT00000046974	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TMEM175	ENSCAFG00000016710	ENSCAFT00000026460	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
TP53	ENSCAFG00000016714	ENSCAFT00000026465	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
TTC9B	ENSCAFG00000030130	ENSCAFT00000044645	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
UBR4	ENSCAFG00000015314	ENSCAFT00000024347	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
UBTD2	ENSCAFG00000016829	ENSCAFT00000026639	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
URB2	ENSCAFG00000012118	ENSCAFT00000019252	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
VPS13D	ENSCAFG00000016397	ENSCAFT00000025995	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
VPS13D	ENSCAFG00000016397	ENSCAFT00000026009	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
VWA5A	ENSCAFG00000011356	ENSCAFT00000018053	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
VWA5A	ENSCAFG00000011356	ENSCAFT00000035569	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
WRAP53	ENSCAFG00000016722	ENSCAFT00000026478	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ZNF438	ENSCAFG00000004017	ENSCAFT00000006435	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ZNF438	ENSCAFG00000004017	ENSCAFT00000049602	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
cfa-mir-324	ENSCAFG00000020627	ENSCAFT00000032734	miRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
slc6A2	ENSCAFG00000009395	ENSCAFT00000014961	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
