# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ANKRD34C	ENSCAFG00000013992	ENSCAFT00000022204	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ANXA13	ENSCAFG00000001015	ENSCAFT00000001562	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANXA13	ENSCAFG00000001015	ENSCAFT00000048754	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANXA9	ENSCAFG00000012309	ENSCAFT00000019554	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
APLP2	ENSCAFG00000010132	ENSCAFT00000016107	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
APLP2	ENSCAFG00000010132	ENSCAFT00000048712	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ARHGAP44	ENSCAFG00000017875	ENSCAFT00000028372	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ARHGEF10	ENSCAFG00000013667	ENSCAFT00000021678	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ARHGEF10	ENSCAFG00000013667	ENSCAFT00000022836	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ARHGEF10L	ENSCAFG00000015727	ENSCAFT00000024924	protein_coding	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
ARHGEF10L	ENSCAFG00000015727	ENSCAFT00000024946	protein_coding	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
ARHGEF25	ENSCAFG00000000250	ENSCAFT00000000393	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ARIH1	ENSCAFG00000017713	ENSCAFT00000028094	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ARIH1	ENSCAFG00000017713	ENSCAFT00000046614	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASTN1	ENSCAFG00000014179	ENSCAFT00000022524	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASTN2	ENSCAFG00000003504	ENSCAFT00000005648	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASTN2	ENSCAFG00000003504	ENSCAFT00000005650	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATF5	ENSCAFG00000029541	ENSCAFT00000048708	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ATP13A2	ENSCAFG00000015840	ENSCAFT00000025109	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATP23	ENSCAFG00000000310	ENSCAFT00000049505	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATP2B2	ENSCAFG00000005076	ENSCAFT00000008209	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATP2B2	ENSCAFG00000005076	ENSCAFT00000049238	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATP8A2	ENSCAFG00000007007	ENSCAFT00000011254	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AVIL	ENSCAFG00000000297	ENSCAFT00000000466	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
B4GALNT1	ENSCAFG00000000255	ENSCAFT00000000401	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BAG6	ENSCAFG00000000575	ENSCAFT00000000906	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BAG6	ENSCAFG00000000575	ENSCAFT00000043742	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BCAP31	ENSCAFG00000019245	ENSCAFT00000030547	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BCL11A	ENSCAFG00000002955	ENSCAFT00000004732	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BCL11A	ENSCAFG00000002955	ENSCAFT00000004736	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BEST2	ENSCAFG00000017200	ENSCAFT00000027237	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BOD1L1	ENSCAFG00000015402	ENSCAFT00000024431	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BRD1	ENSCAFG00000000718	ENSCAFT00000001121	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BRD1	ENSCAFG00000000718	ENSCAFT00000048974	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C10orf62	ENSCAFG00000025366	ENSCAFT00000039383	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C15orf62	ENSCAFG00000009332	ENSCAFT00000014845	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C16orf71	ENSCAFG00000019195	ENSCAFT00000030471	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
C16orf71	ENSCAFG00000019195	ENSCAFT00000048801	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
C18orf25	ENSCAFG00000017637	ENSCAFT00000027969	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C18orf25	ENSCAFG00000017637	ENSCAFT00000044840	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C18orf8	ENSCAFG00000018191	ENSCAFT00000028903	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19orf81	ENSCAFG00000029175	ENSCAFT00000043877	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
C2CD2	ENSCAFG00000010228	ENSCAFT00000016235	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CABIN1	ENSCAFG00000013995	ENSCAFT00000022235	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CABIN1	ENSCAFG00000013995	ENSCAFT00000022239	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CABIN1	ENSCAFG00000013995	ENSCAFT00000049789	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CAFA-T2R43	ENSCAFG00000013378	ENSCAFT00000021237	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CAMK1G	ENSCAFG00000011909	ENSCAFT00000018919	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CAMKK1	ENSCAFG00000019377	ENSCAFT00000030794	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CAT	ENSCAFG00000006941	ENSCAFT00000011146	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
CBARP	ENSCAFG00000023991	ENSCAFT00000037156	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CCDC154	ENSCAFG00000030142	ENSCAFT00000043733	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC154	ENSCAFG00000030142	ENSCAFT00000044902	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCDC178	ENSCAFG00000017987	ENSCAFT00000028569	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CCDC178	ENSCAFG00000017987	ENSCAFT00000035661	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CCDC18	ENSCAFG00000020143	ENSCAFT00000032069	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCDC18	ENSCAFG00000020143	ENSCAFT00000043757	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCDC18	ENSCAFG00000020143	ENSCAFT00000050007	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCDC33	ENSCAFG00000017833	ENSCAFT00000045389	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCDC34	ENSCAFG00000010196	ENSCAFT00000016164	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CCDC34	ENSCAFG00000010196	ENSCAFT00000016197	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCDC34	ENSCAFG00000010196	ENSCAFT00000044748	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
CCDC40	ENSCAFG00000005580	ENSCAFT00000008987	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCDC42	ENSCAFG00000017374	ENSCAFT00000027525	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCDC57	ENSCAFG00000006048	ENSCAFT00000009779	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCHCR1	ENSCAFG00000000478	ENSCAFT00000000761	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCHCR1	ENSCAFG00000000478	ENSCAFT00000046522	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD28	ENSCAFG00000012872	ENSCAFT00000046704	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CD300LB	ENSCAFG00000004561	ENSCAFT00000038096	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD300LB	ENSCAFG00000004561	ENSCAFT00000038097	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDH18	ENSCAFG00000019049	ENSCAFT00000030255	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDH2	ENSCAFG00000018115	ENSCAFT00000028783	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDON	ENSCAFG00000010499	ENSCAFT00000016704	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CEACAM1	ENSCAFG00000014247	ENSCAFT00000046087	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CEACAM18	ENSCAFG00000002869	ENSCAFT00000004587	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CEACAM28	ENSCAFG00000004779	ENSCAFT00000045512	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CEP162	ENSCAFG00000002979	ENSCAFT00000004775	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CEP170B	ENSCAFG00000018376	ENSCAFT00000029195	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CEP170B	ENSCAFG00000018376	ENSCAFT00000048531	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CEP72	ENSCAFG00000010889	ENSCAFT00000017314	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CEP72	ENSCAFG00000010889	ENSCAFT00000038035	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CEP95	ENSCAFG00000011702	ENSCAFT00000018575	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CERCAM	ENSCAFG00000020061	ENSCAFT00000031918	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
CFAP45	ENSCAFG00000011807	ENSCAFT00000018741	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CFAP45	ENSCAFG00000011807	ENSCAFT00000018749	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CFAP47	ENSCAFG00000024088	ENSCAFT00000037291	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CFAP47	ENSCAFG00000024088	ENSCAFT00000045205	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CFI	ENSCAFG00000011462	ENSCAFT00000018207	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CFI	ENSCAFG00000011462	ENSCAFT00000018226	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CFTR	ENSCAFG00000003429	ENSCAFT00000005518	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
CHD3	ENSCAFG00000016859	ENSCAFT00000026729	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CHST15	ENSCAFG00000012723	ENSCAFT00000020187	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CHST8	ENSCAFG00000024101	ENSCAFT00000037311	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CHST8	ENSCAFG00000024101	ENSCAFT00000047514	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CHTF18	ENSCAFG00000019611	ENSCAFT00000031175	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CIB1	ENSCAFG00000012099	ENSCAFT00000019209	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CLASP1	ENSCAFG00000004759	ENSCAFT00000007674	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CLASP1	ENSCAFG00000004759	ENSCAFT00000047299	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CLCN7	ENSCAFG00000019565	ENSCAFT00000031114	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLDN8	ENSCAFG00000008822	ENSCAFT00000014017	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CLIP2	ENSCAFG00000011916	ENSCAFT00000018930	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CLIP2	ENSCAFG00000011916	ENSCAFT00000048444	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CLOCK	ENSCAFG00000002140	ENSCAFT00000003400	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CMPK1	ENSCAFG00000004030	ENSCAFT00000006448	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CNBD2	ENSCAFG00000008365	ENSCAFT00000013292	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CNOT11	ENSCAFG00000002199	ENSCAFT00000003454	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CNTN4	ENSCAFG00000006013	ENSCAFT00000009728	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CNTRL	ENSCAFG00000003608	ENSCAFT00000005822	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COL17A1	ENSCAFG00000010547	ENSCAFT00000005111	protein_coding	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
COL17A1	ENSCAFG00000010547	ENSCAFT00000016764	protein_coding	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
COL17A1	ENSCAFG00000010547	ENSCAFT00000045026	protein_coding	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
COL2A1	ENSCAFG00000009059	ENSCAFT00000014414	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
COL2A1	ENSCAFG00000009059	ENSCAFT00000023550	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
COL4A4	ENSCAFG00000010423	ENSCAFT00000016552	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COL4A4	ENSCAFG00000010423	ENSCAFT00000049972	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COL6A3	ENSCAFG00000012226	ENSCAFT00000019411	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COL6A3	ENSCAFG00000012226	ENSCAFT00000019420	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COL6A3	ENSCAFG00000012226	ENSCAFT00000019426	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COL9A1	ENSCAFG00000002589	ENSCAFT00000004081	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CORIN	ENSCAFG00000001907	ENSCAFT00000003024	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CORIN	ENSCAFG00000001907	ENSCAFT00000049022	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
COX3	ENSCAFG00000022730	ENSCAFT00000034837	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CPT1A	ENSCAFG00000010757	ENSCAFT00000017112	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CPXM2	ENSCAFG00000012718	ENSCAFT00000020154	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CRLS1	ENSCAFG00000005934	ENSCAFT00000009586	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CSMD1	ENSCAFG00000008686	ENSCAFT00000013885	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CSMD1	ENSCAFG00000008686	ENSCAFT00000013889	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CSMD3	ENSCAFG00000000786	ENSCAFT00000001238	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CSRNP1	ENSCAFG00000005088	ENSCAFT00000008181	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CTNNAL1	ENSCAFG00000002835	ENSCAFT00000004528	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CTNNAL1	ENSCAFG00000002835	ENSCAFT00000038612	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CUL5	ENSCAFG00000014613	ENSCAFT00000023239	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CUL5	ENSCAFG00000014613	ENSCAFT00000043293	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYB5D2	ENSCAFG00000015227	ENSCAFT00000024166	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYB5D2	ENSCAFG00000015227	ENSCAFT00000045479	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CYFIP2	ENSCAFG00000017484	ENSCAFT00000027770	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CYTB	ENSCAFG00000022742	ENSCAFT00000034849	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DCC	ENSCAFG00000000157	ENSCAFT00000000254	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DCC	ENSCAFG00000000157	ENSCAFT00000045423	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DDOST	ENSCAFG00000015041	ENSCAFT00000023880	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DDX3X	ENSCAFG00000014251	ENSCAFT00000022643	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DDX3X	ENSCAFG00000014251	ENSCAFT00000045177	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DDX5	ENSCAFG00000011713	ENSCAFT00000018595	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DDX60	ENSCAFG00000009003	ENSCAFT00000014321	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDX60	ENSCAFG00000009003	ENSCAFT00000044956	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DHRSX	ENSCAFG00000011067	ENSCAFT00000017611	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DHX8	ENSCAFG00000014556	ENSCAFT00000023129	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DIP2C	ENSCAFG00000005624	ENSCAFT00000009094	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DIP2C	ENSCAFG00000005624	ENSCAFT00000044342	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
