Module	Section	Sample Name	Source
FastQC	all_sections	SRR11352530_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352530_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352530_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352530_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352531_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352531_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352524_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352524_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352513_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352513_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352526_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352526_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352510_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352510_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352532_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352532_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352517_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352517_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352515_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352515_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352518_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352518_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352511_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352511_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352529_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352529_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352509_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352509_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352528_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352528_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352510_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352510_1_trimmed_fastqc.zip
